| n | Iterative C | Recursive C | Dynamic Programming  C | Iterative P | Recursive P | Dynamic Programming  P |
|--|:--:|:--:|:--:|:--:|:--:|:--:|
| 1    | 0.00245  | 0.00209  | 0.00202  |0.03996  | 0.04002  | 0.03993  |
| 501  | 0.00212  |    -     | 0.00318  |0.03821  |    -     | 0.04003  |
| 1001 | 0.00208  |    -     | 0.00206  |0.04017  |    -     |    -     |
| 1501 | 0.00408  |    -     | 0.00212  |0.07680  |    -     |    -     |
| 2001 | 0.00245  |    -     | 0.00184  |0.03952  |    -     |    -     |
| 2501 | 0.00209  |    -     | 0.00186  |0.03954  |    -     |    -     |
| 3001 | 0.00220  |    -     | 0.00190  |0.03924  |    -     |    -     |
| 3501 | 0.00245  |    -     | 0.00187  |0.03950  |    -     |    -     |
| 4001 | 0.00206  |    -     | 0.00188  |0.03935  |    -     |    -     |
| 4501 | 0.00203  |    -     | 0.00190  |0.03950  |    -     |    -     |
| 5001 | 0.00210  |    -     | 0.00189  |0.03967  |    -     |    -     |
| 5501 | 0.00203  |    -     | 0.00185  |0.03763  |    -     |    -     |
| 6001 | 0.00199  |    -     | 0.00185  |0.03607  |    -     |    -     |
| 6501 | 0.00212  |    -     | 0.00187  |0.03960  |    -     |    -     |
| 7001 | 0.00302  |    -     | 0.00186  |0.03958  |    -     |    -     |
| 7501 | 0.00207  |    -     | 0.00189  |0.03903  |    -     |    -     |
| 8001 | 0.00227  |    -     | 0.00188  |0.03956  |    -     |    -     |
| 8501 | 0.00210  |    -     | 0.00185  |0.03997  |    -     |    -     |
| 9001 | 0.00209  |    -     | 0.00163  |0.03948  |    -     |    -     |
| 9501 | 0.00197  |    -     | 0.00184  |0.03883  |    -     |    -     |
| 10001 | 0.00202  |    -     | 0.00196  |0.03700  |    -     |    -     |
| 10501 | 0.00210  |    -     | 0.00185  |0.03953  |    -     |    -     |
| 11001 | 0.00208  |    -     | 0.00185  |0.03562  |    -     |    -     |
| 11501 | 0.00209  |    -     | 0.00188  |0.04007  |    -     |    -     |
| 12001 | 0.00213  |    -     | 0.00193  |0.03951  |    -     |    -     |
| 12501 | 0.00204  |    -     | 0.00185  |0.03833  |    -     |    -     |
| 13001 | 0.00221  |    -     | 0.00204  |0.03957  |    -     |    -     |
| 13501 | 0.00205  |    -     | 0.00186  |0.03957  |    -     |    -     |
| 14001 | 0.00202  |    -     | 0.00186  |0.03957  |    -     |    -     |
| 14501 | 0.00206  |    -     | 0.00184  |0.03953  |    -     |    -     |
| 15001 | 0.00202  |    -     | 0.00192  |0.03985  |    -     |    -     |
| 15501 | 0.00209  |    -     | 0.00223  |0.03965  |    -     |    -     |
