| n | Iterative C | Recursive C | Dynamic Programming  C | Iterative P | Recursive P | Dynamic Programming  P |
| 112  | 0.00211  |    -     | 0.00201  |0.03973  |    -     | 0.03983  |
| 113  | 0.00212  |    -     | 0.00198  |0.03966  |    -     | 0.03994  |
| 114  | 0.00231  |    -     | 0.00211  |0.03978  |    -     | 0.03982  |
| 115  | 0.00209  |    -     | 0.00201  |0.03971  |    -     | 0.03957  |
| 116  | 0.00209  |    -     | 0.00196  |0.03962  |    -     | 0.03988  |
| 117  | 0.00215  |    -     | 0.00200  |0.03786  |    -     | 0.03838  |
| 118  | 0.00212  |    -     | 0.00201  |0.03966  |    -     | 0.03973  |
| 119  | 0.00222  |    -     | 0.00251  |0.04023  |    -     | 0.03998  |
| 120  | 0.00218  |    -     | 0.00206  |0.03906  |    -     | 0.04002  |
| 121  | 0.00209  |    -     | 0.00200  |0.03970  |    -     | 0.03979  |
| 122  | 0.00212  |    -     | 0.00201  |0.04020  |    -     | 0.03888  |
| 123  | 0.00234  |    -     | 0.00170  |0.03716  |    -     | 0.04012  |
| 124  | 0.00213  |    -     | 0.00196  |0.03972  |    -     | 0.03983  |
| 125  | 0.00220  |    -     | 0.00209  |0.03981  |    -     | 0.03998  |
| 126  | 0.00213  |    -     | 0.00199  |0.03970  |    -     | 0.03980  |
| 127  | 0.00218  |    -     | 0.00204  |0.03973  |    -     | 0.03980  |
| 128  | 0.00211  |    -     | 0.00187  |0.03807  |    -     | 0.03988  |
| 129  | 0.00213  |    -     | 0.00203  |0.03907  |    -     | 0.03981  |
| 130  | 0.00213  |    -     | 0.00197  |0.03964  |    -     | 0.03961  |
| 131  | 0.00211  |    -     | 0.00200  |0.03970  |    -     | 0.03975  |
| 132  | 0.00220  |    -     | 0.00200  |0.03969  |    -     | 0.03991  |
| 133  | 0.00216  |    -     | 0.00206  |0.03971  |    -     | 0.03940  |
| 134  | 0.00212  |    -     | 0.00197  |0.03970  |    -     | 0.03938  |
| 135  | 0.00222  |    -     | 0.00191  |0.03758  |    -     | 0.03998  |
| 136  | 0.00212  |    -     | 0.00203  |0.03961  |    -     | 0.03989  |
| 137  | 0.00215  |    -     | 0.00201  |0.03904  |    -     | 0.04027  |
| 138  | 0.00229  |    -     | 0.00201  |0.03937  |    -     | 0.03991  |
| 139  | 0.00208  |    -     | 0.00189  |0.03843  |    -     | 0.03953  |
| 140  | 0.00210  |    -     | 0.00193  |0.03968  |    -     | 0.03729  |
| 141  | 0.00219  |    -     | 0.00192  |0.03974  |    -     | 0.03981  |
| 142  | 0.00202  |    -     | 0.00190  |0.03703  |    -     | 0.03991  |
| 143  | 0.00209  |    -     | 0.00192  |0.04008  |    -     | 0.03946  |
| 144  | 0.00212  |    -     | 0.00199  |0.03974  |    -     | 0.03980  |
| 145  | 0.00206  |    -     | 0.00195  |0.03968  |    -     | 0.03974  |
| 146  | 0.00202  |    -     | 0.00191  |0.03706  |    -     | 0.03845  |
| 147  | 0.00227  |    -     | 0.00212  |0.03969  |    -     | 0.03973  |
| 148  | 0.00196  |    -     | 0.00187  |0.04063  |    -     | 0.03802  |
| 149  | 0.00200  |    -     | 0.00227  |0.03964  |    -     | 0.03986  |
| 150  | 0.00240  |    -     | 0.00212  |0.03599  |    -     | 0.04006  |
| 151  | 0.00234  |    -     | 0.00198  |0.03608  |    -     | 0.03661  |
| 152  | 0.00229  |    -     | 0.00208  |0.04029  |    -     | 0.04039  |
| 153  | 0.00268  |    -     | 0.00218  |0.03878  |    -     | 0.03878  |
| 154  | 0.00210  |    -     | 0.00192  |0.03896  |    -     | 0.04030  |
| 155  | 0.00233  |    -     | 0.00207  |0.04012  |    -     | 0.03761  |
| 156  | 0.00240  |    -     | 0.00244  |0.03935  |    -     | 0.03967  |
| 157  | 0.00219  |    -     | 0.00206  |0.03598  |    -     | 0.04000  |
| 158  | 0.00267  |    -     | 0.00210  |0.03970  |    -     | 0.03989  |
| 159  | 0.00213  |    -     | 0.00206  |0.03796  |    -     | 0.03984  |
| 160  | 0.00211  |    -     | 0.00199  |0.03559  |    -     | 0.03726  |
| 161  | 0.00219  |    -     | 0.00186  |0.03758  |    -     | 0.04002  |
| 162  | 0.00223  |    -     | 0.00214  |0.03977  |    -     | 0.04007  |
| 163  | 0.00225  |    -     | 0.00217  |0.03802  |    -     | 0.03995  |
| 164  | 0.00218  |    -     | 0.00195  |0.03972  |    -     | 0.03424  |
| 165  | 0.00257  |    -     | 0.00214  |0.03849  |    -     | 0.03802  |
| 166  | 0.00231  |    -     | 0.00191  |0.03697  |    -     | 0.03796  |
| 167  | 0.00225  |    -     | 0.00204  |0.03976  |    -     | 0.04012  |
| 168  | 0.00243  |    -     | 0.00258  |0.04005  |    -     | 0.03653  |
| 169  | 0.00215  |    -     | 0.00209  |0.03975  |    -     | 0.03994  |
| 170  | 0.00216  |    -     | 0.00200  |0.03803  |    -     | 0.04016  |
| 171  | 0.00214  |    -     | 0.00200  |0.03967  |    -     | 0.04045  |
| 172  | 0.00226  |    -     | 0.00200  |0.03657  |    -     | 0.04040  |
| 173  | 0.00211  |    -     | 0.00199  |0.03968  |    -     | 0.03982  |
| 174  | 0.00206  |    -     | 0.00182  |0.03959  |    -     | 0.03975  |
| 175  | 0.00209  |    -     | 0.00196  |0.03927  |    -     | 0.03992  |
| 176  | 0.00216  |    -     | 0.00200  |0.03968  |    -     | 0.03937  |
| 177  | 0.00212  |    -     | 0.00194  |0.03959  |    -     | 0.03748  |
| 178  | 0.00216  |    -     | 0.00201  |0.03973  |    -     | 0.03985  |
| 179  | 0.00219  |    -     | 0.00201  |0.03657  |    -     | 0.03979  |
| 180  | 0.00210  |    -     | 0.00199  |0.03828  |    -     | 0.04015  |
| 181  | 0.00216  |    -     | 0.00189  |0.03968  |    -     | 0.04001  |
| 182  | 0.00215  |    -     | 0.00200  |0.03976  |    -     | 0.03975  |
| 183  | 0.00210  |    -     | 0.00199  |0.03969  |    -     | 0.03986  |
| 184  | 0.00218  |    -     | 0.00207  |0.03970  |    -     | 0.03983  |
| 185  | 0.00212  |    -     | 0.00198  |0.03971  |    -     | 0.04001  |
| 186  | 0.00218  |    -     | 0.00199  |0.03972  |    -     | 0.04017  |
| 187  | 0.00213  |    -     | 0.00198  |0.03971  |    -     | 0.03973  |
| 188  | 0.00215  |    -     | 0.00202  |0.03970  |    -     | 0.03979  |
| 189  | 0.00212  |    -     | 0.00201  |0.03975  |    -     | 0.03972  |
| 190  | 0.00215  |    -     | 0.00196  |0.03808  |    -     | 0.03985  |
| 191  | 0.00215  |    -     | 0.00202  |0.03787  |    -     | 0.03980  |
| 192  | 0.00209  |    -     | 0.00199  |0.03661  |    -     | 0.03991  |
| 193  | 0.00213  |    -     | 0.00200  |0.03968  |    -     | 0.03982  |
| 194  | 0.00212  |    -     | 0.00200  |0.04014  |    -     | 0.03630  |
| 195  | 0.00209  |    -     | 0.00197  |0.03960  |    -     | 0.03554  |
| 196  | 0.00232  |    -     | 0.00203  |0.03753  |    -     | 0.03981  |
| 197  | 0.00211  |    -     | 0.00200  |0.03893  |    -     | 0.03994  |
| 198  | 0.00213  |    -     | 0.00199  |0.03960  |    -     | 0.03992  |
| 199  | 0.00202  |    -     | 0.00194  |0.03963  |    -     | 0.03643  |
| 200  | 0.00211  |    -     | 0.00199  |0.03869  |    -     | 0.03993  |
| 201  | 0.00223  |    -     | 0.00200  |0.03972  |    -     | 0.03990  |
| 202  | 0.00204  |    -     | 0.00184  |0.03776  |    -     | 0.03980  |
| 203  | 0.00213  |    -     | 0.00190  |0.03946  |    -     | 0.03992  |
| 204  | 0.00209  |    -     | 0.00198  |0.03974  |    -     | 0.03988  |
| 205  | 0.00216  |    -     | 0.00200  |0.03978  |    -     | 0.03952  |
| 206  | 0.00214  |    -     | 0.00198  |0.03967  |    -     | 0.04020  |
| 207  | 0.00215  |    -     | 0.00194  |0.03967  |    -     | 0.03537  |
| 208  | 0.00219  |    -     | 0.00203  |0.03796  |    -     | 0.03734  |
| 209  | 0.00200  |    -     | 0.00185  |0.03960  |    -     | 0.03802  |
| 210  | 0.00203  |    -     | 0.00199  |0.03969  |    -     | 0.03620  |
| 211  | 0.00213  |    -     | 0.00186  |0.04022  |    -     | 0.03763  |
| 212  | 0.00208  |    -     | 0.00204  |0.03810  |    -     | 0.03990  |
| 213  | 0.00216  |    -     | 0.00200  |0.03939  |    -     | 0.03946  |
| 214  | 0.00217  |    -     | 0.00214  |0.03979  |    -     | 0.04004  |
| 215  | 0.00221  |    -     | 0.00195  |0.03979  |    -     | 0.03700  |
| 216  | 0.00217  |    -     | 0.00228  |0.03986  |    -     | 0.04009  |
| 217  | 0.00265  |    -     | 0.00196  |0.03615  |    -     | 0.03976  |
| 218  | 0.00214  |    -     | 0.00203  |0.03977  |    -     | 0.03989  |
| 219  | 0.00212  |    -     | 0.00198  |0.03734  |    -     | 0.03866  |
| 220  | 0.00216  |    -     | 0.00203  |0.03774  |    -     | 0.03975  |
| 221  | 0.00220  |    -     | 0.00197  |0.03968  |    -     | 0.03978  |
| 222  | 0.00202  |    -     | 0.00191  |0.03967  |    -     | 0.03986  |
| 223  | 0.00214  |    -     | 0.00194  |0.03971  |    -     | 0.03984  |
| 224  | 0.00214  |    -     | 0.00194  |0.03968  |    -     | 0.03985  |
| 225  | 0.00212  |    -     | 0.00202  |0.03971  |    -     | 0.03976  |
| 226  | 0.00203  |    -     | 0.00184  |0.03981  |    -     | 0.03979  |
| 227  | 0.00216  |    -     | 0.00193  |0.03945  |    -     | 0.03956  |
| 228  | 0.00220  |    -     | 0.00204  |0.03971  |    -     | 0.03989  |
| 229  | 0.00213  |    -     | 0.00193  |0.03965  |    -     | 0.03981  |
| 230  | 0.00213  |    -     | 0.00199  |0.03966  |    -     | 0.03989  |
| 231  | 0.00207  |    -     | 0.00193  |0.03963  |    -     | 0.03736  |
| 232  | 0.00221  |    -     | 0.00198  |0.03825  |    -     | 0.03997  |
| 233  | 0.00218  |    -     | 0.00197  |0.03958  |    -     | 0.03986  |
| 234  | 0.00212  |    -     | 0.00196  |0.03971  |    -     | 0.03977  |
| 235  | 0.00202  |    -     | 0.00189  |0.03975  |    -     | 0.03666  |
| 236  | 0.00212  |    -     | 0.00196  |0.03972  |    -     | 0.03988  |
| 237  | 0.00211  |    -     | 0.00200  |0.03552  |    -     | 0.03978  |
| 238  | 0.00203  |    -     | 0.00190  |0.03592  |    -     | 0.04017  |
| 239  | 0.00213  |    -     | 0.00201  |0.03965  |    -     | 0.03974  |
| 240  | 0.00204  |    -     | 0.00189  |0.03964  |    -     | 0.04032  |
| 241  | 0.00210  |    -     | 0.00190  |0.03964  |    -     | 0.03983  |
| 242  | 0.00209  |    -     | 0.00184  |0.03970  |    -     | 0.03981  |
| 243  | 0.00207  |    -     | 0.00198  |0.03969  |    -     | 0.03984  |
| 244  | 0.00254  |    -     | 0.00204  |0.03651  |    -     | 0.04037  |
| 245  | 0.00218  |    -     | 0.00199  |0.03972  |    -     | 0.03982  |
| 246  | 0.00205  |    -     | 0.00198  |0.03972  |    -     | 0.03986  |
| 247  | 0.00211  |    -     | 0.00195  |0.03970  |    -     | 0.03990  |
| 248  | 0.00205  |    -     | 0.00196  |0.03974  |    -     | 0.03984  |
| 249  | 0.00204  |    -     | 0.00199  |0.03964  |    -     | 0.03986  |
| 250  | 0.00207  |    -     | 0.00199  |0.03577  |    -     | 0.03991  |
| 251  | 0.00215  |    -     | 0.00194  |0.03971  |    -     | 0.03984  |
| 252  | 0.00214  |    -     | 0.00194  |0.03968  |    -     | 0.03968  |
| 253  | 0.00210  |    -     | 0.00197  |0.03971  |    -     | 0.03984  |
| 254  | 0.00211  |    -     | 0.00193  |0.03971  |    -     | 0.03979  |
| 255  | 0.00205  |    -     | 0.00202  |0.03970  |    -     | 0.03983  |
| 256  | 0.00235  |    -     | 0.00215  |0.04026  |    -     | 0.03743  |
| 257  | 0.00221  |    -     | 0.00196  |0.03955  |    -     | 0.03979  |
| 258  | 0.00212  |    -     | 0.00194  |0.03979  |    -     | 0.03988  |
| 259  | 0.00217  |    -     | 0.00201  |0.03969  |    -     | 0.03994  |
| 260  | 0.00220  |    -     | 0.00200  |0.03880  |    -     | 0.03988  |
| 261  | 0.00218  |    -     | 0.00200  |0.03596  |    -     | 0.03986  |
| 262  | 0.00206  |    -     | 0.00197  |0.03970  |    -     | 0.03994  |
| 263  | 0.00212  |    -     | 0.00202  |0.03975  |    -     | 0.03983  |
| 264  | 0.00228  |    -     | 0.00194  |0.03967  |    -     | 0.03983  |
| 265  | 0.00213  |    -     | 0.00196  |0.03973  |    -     | 0.03985  |
| 266  | 0.00214  |    -     | 0.00200  |0.03975  |    -     | 0.04035  |
| 267  | 0.00214  |    -     | 0.00199  |0.03973  |    -     | 0.03795  |
| 268  | 0.00204  |    -     | 0.00189  |0.03810  |    -     | 0.03994  |
| 269  | 0.00196  |    -     | 0.00183  |0.03958  |    -     | 0.03979  |
| 270  | 0.00211  |    -     | 0.00198  |0.03966  |    -     | 0.03979  |
| 271  | 0.00216  |    -     | 0.00188  |0.03934  |    -     | 0.04038  |
| 272  | 0.00219  |    -     | 0.00212  |0.03907  |    -     | 0.04059  |
| 273  | 0.00219  |    -     | 0.00202  |0.04022  |    -     | 0.03980  |
| 274  | 0.00210  |    -     | 0.00197  |0.03835  |    -     | 0.03988  |
| 275  | 0.00209  |    -     | 0.00200  |0.03972  |    -     | 0.04030  |
| 276  | 0.00217  |    -     | 0.00202  |0.03964  |    -     | 0.03992  |
| 277  | 0.00218  |    -     | 0.00195  |0.03706  |    -     | 0.03977  |
| 278  | 0.00216  |    -     | 0.00196  |0.03841  |    -     | 0.04040  |
| 279  | 0.00212  |    -     | 0.00199  |0.03887  |    -     | 0.03412  |
| 280  | 0.00229  |    -     | 0.00221  |0.03663  |    -     | 0.04032  |
| 281  | 0.00216  |    -     | 0.00195  |0.03947  |    -     | 0.03655  |
| 282  | 0.00230  |    -     | 0.00208  |0.03932  |    -     | 0.03960  |
| 283  | 0.00215  |    -     | 0.00218  |0.03926  |    -     | 0.03584  |
| 284  | 0.00220  |    -     | 0.00219  |0.03712  |    -     | 0.03973  |
| 285  | 0.00222  |    -     | 0.00205  |0.03695  |    -     | 0.04003  |
| 286  | 0.00219  |    -     | 0.00198  |0.03963  |    -     | 0.03987  |
| 287  | 0.00222  |    -     | 0.00198  |0.03937  |    -     | 0.04013  |
| 288  | 0.00213  |    -     | 0.00198  |0.03972  |    -     | 0.03774  |
| 289  | 0.00218  |    -     | 0.00194  |0.03946  |    -     | 0.03925  |
| 290  | 0.00226  |    -     | 0.00204  |0.03976  |    -     | 0.03988  |
| 291  | 0.00201  |    -     | 0.00188  |0.03975  |    -     | 0.03888  |
| 292  | 0.00198  |    -     | 0.00182  |0.03947  |    -     | 0.03853  |
| 293  | 0.00215  |    -     | 0.00198  |0.03976  |    -     | 0.03994  |
| 294  | 0.00211  |    -     | 0.00198  |0.03969  |    -     | 0.03974  |
| 295  | 0.00216  |    -     | 0.00203  |0.03973  |    -     | 0.03979  |
| 296  | 0.00212  |    -     | 0.00202  |0.03965  |    -     | 0.04026  |
| 297  | 0.00224  |    -     | 0.00195  |0.03969  |    -     | 0.04015  |
| 298  | 0.00218  |    -     | 0.00210  |0.03979  |    -     | 0.03990  |
| 299  | 0.00209  |    -     | 0.00200  |0.03971  |    -     | 0.03985  |
| 300  | 0.00216  |    -     | 0.00193  |0.03975  |    -     | 0.03988  |
| 301  | 0.00216  |    -     | 0.00194  |0.03900  |    -     | 0.04014  |
| 302  | 0.00221  |    -     | 0.00213  |0.03978  |    -     | 0.03904  |
| 303  | 0.00258  |    -     | 0.00203  |0.03770  |    -     | 0.03745  |
| 304  | 0.00216  |    -     | 0.00182  |0.04075  |    -     | 0.03426  |
| 305  | 0.00266  |    -     | 0.00220  |0.03722  |    -     | 0.04007  |
| 306  | 0.00221  |    -     | 0.00191  |0.03972  |    -     | 0.04004  |
| 307  | 0.00218  |    -     | 0.00206  |0.03799  |    -     | 0.03711  |
| 308  | 0.00226  |    -     | 0.00207  |0.04009  |    -     | 0.03993  |
| 309  | 0.00217  |    -     | 0.00200  |0.03972  |    -     | 0.04012  |
| 310  | 0.00220  |    -     | 0.00196  |0.03975  |    -     | 0.03999  |
| 311  | 0.00203  |    -     | 0.00197  |0.03970  |    -     | 0.03829  |
| 312  | 0.00207  |    -     | 0.00194  |0.03964  |    -     | 0.03988  |
| 313  | 0.00209  |    -     | 0.00198  |0.03967  |    -     | 0.03976  |
| 314  | 0.00216  |    -     | 0.00201  |0.03966  |    -     | 0.03987  |
| 315  | 0.00203  |    -     | 0.00211  |0.03472  |    -     | 0.03778  |
| 316  | 0.00241  |    -     | 0.00223  |0.03689  |    -     | 0.04070  |
| 317  | 0.00227  |    -     | 0.00192  |0.03971  |    -     | 0.03987  |
| 318  | 0.00217  |    -     | 0.00202  |0.03741  |    -     | 0.03995  |
| 319  | 0.00217  |    -     | 0.00197  |0.03617  |    -     | 0.04002  |
| 320  | 0.00230  |    -     | 0.00221  |0.03984  |    -     | 0.04001  |
| 321  | 0.00210  |    -     | 0.00200  |0.04018  |    -     | 0.03991  |
| 322  | 0.00213  |    -     | 0.00199  |0.03972  |    -     | 0.03984  |
| 323  | 0.00210  |    -     | 0.00198  |0.03974  |    -     | 0.03836  |
| 324  | 0.00213  |    -     | 0.00196  |0.03971  |    -     | 0.03982  |
| 325  | 0.00212  |    -     | 0.00207  |0.03980  |    -     | 0.03968  |
| 326  | 0.00217  |    -     | 0.00202  |0.03973  |    -     | 0.03914  |
| 327  | 0.00215  |    -     | 0.00200  |0.03990  |    -     | 0.03992  |
| 328  | 0.00212  |    -     | 0.00203  |0.03678  |    -     | 0.03989  |
| 329  | 0.00220  |    -     | 0.00185  |0.04004  |    -     | 0.04024  |
| 330  | 0.00215  |    -     | 0.00191  |0.03962  |    -     | 0.03883  |
| 331  | 0.00206  |    -     | 0.00189  |0.03974  |    -     | 0.03764  |
