| n | Iterative C | Recursive C | Dynamic Programming  C | Iterative P | Recursive P | Dynamic Programming  P |
|--|:--:|:--:|:--:|:--:|:--:|:--:|
| 1    | 0.00224  | 0.00191  | 0.00193  |0.03886  | 0.03900  | 0.03996  |
| 2    | 0.00217  | 0.00202  | 0.00191  |0.03973  | 0.03982  | 0.03644  |
| 3    | 0.00207  | 0.00188  | 0.00199  |0.03924  | 0.03991  | 0.03985  |
| 4    | 0.00212  | 0.00194  | 0.00189  |0.03966  | 0.03973  | 0.03811  |
| 5    | 0.00212  | 0.00194  | 0.00189  |0.03964  | 0.03977  | 0.03976  |
| 6    | 0.00217  | 0.00201  | 0.00192  |0.03428  | 0.03984  | 0.03981  |
| 7    | 0.00212  | 0.00204  | 0.00195  |0.03969  | 0.03989  | 0.03981  |
| 8    | 0.00210  | 0.00196  | 0.00195  |0.03729  | 0.03969  | 0.03786  |
| 9    | 0.00216  | 0.00195  | 0.00193  |0.03960  | 0.03983  | 0.03974  |
| 10   | 0.00209  | 0.00192  | 0.00189  |0.03905  | 0.03981  | 0.04019  |
| 11   | 0.00211  | 0.00196  | 0.00199  |0.03971  | 0.03985  | 0.03973  |
| 12   | 0.00208  | 0.00192  | 0.00190  |0.03960  | 0.04014  | 0.03968  |
| 13   | 0.00211  | 0.00198  | 0.00197  |0.03967  | 0.03977  | 0.03983  |
| 14   | 0.00198  | 0.00186  | 0.00192  |0.03917  | 0.03992  | 0.03985  |
| 15   | 0.00205  | 0.00199  | 0.00234  |0.03973  | 0.03985  | 0.03985  |
| 16   | 0.00209  | 0.00199  | 0.00195  |0.03963  | 0.03967  | 0.03973  |
| 17   | 0.00212  | 0.00194  | 0.00194  |0.03952  | 0.04002  | 0.04014  |
| 18   | 0.00210  | 0.00196  | 0.00194  |0.03963  | 0.04023  | 0.03989  |
| 19   | 0.00203  | 0.00196  | 0.00197  |0.03962  | 0.03984  | 0.03980  |
| 20   | 0.00216  | 0.00198  | 0.00193  |0.03966  | 0.03990  | 0.03980  |
| 21   | 0.00201  | 0.00189  | 0.00192  |0.03967  | 0.03986  | 0.03983  |
| 22   | 0.00207  | 0.00193  | 0.00181  |0.03962  | 0.03992  | 0.03984  |
| 23   | 0.00218  | 0.00185  | 0.00182  |0.03953  | 0.03720  | 0.03727  |
| 24   | 0.00214  | 0.00189  | 0.00186  |0.03963  | 0.07684  | 0.03996  |
| 25   | 0.00214  | 0.00195  | 0.00186  |0.03969  | 0.07686  | 0.03989  |
| 26   | 0.00206  | 0.00448  | 0.00195  |0.03964  | 0.07679  | 0.03994  |
| 27   | 0.00214  | 0.00450  | 0.00199  |0.03967  | 0.13186  | 0.03997  |
| 28   | 0.00215  | 0.00447  | 0.00188  |0.03971  | 0.13203  | 0.04047  |
| 29   | 0.00218  | 0.00950  | 0.00185  |0.03971  | 0.18682  | 0.04037  |
| 30   | 0.00223  | 0.00944  | 0.00192  |0.03963  | 0.29435  | 0.03999  |
| 31   | 0.00213  | 0.01955  | 0.00195  |0.03740  | 0.46200  | 0.04007  |
| 32   | 0.00215  | 0.03954  | 0.00194  |0.03971  | 0.72317  | 0.03609  |
| 33   | 0.00209  | 0.03908  | 0.00184  |0.03543  | 1.11307  | 0.04040  |
| 34   | 0.00216  | 0.07660  | 0.00182  |0.03969  | 1.80194  | 0.04008  |
| 35   | 0.00228  | 0.12912  | 0.00224  |0.03972  | 2.90187  | 0.03812  |
| 36   | 0.00212  | 0.18115  | 0.00233  |0.03991  | 4.64278  | 0.04052  |
| 37   | 0.00224  | 0.23247  | 0.00228  |0.03975  | 7.39035  | 0.04004  |
| 38   | 0.00211  | 0.34659  | 0.00233  |0.03714  | 11.95169 | 0.03828  |
| 39   | 0.00205  | 0.57167  | 0.00214  |0.03964  | 19.19840 | 0.03958  |
| 40   | 0.00207  | 0.89521  | 0.00239  |0.03978  | 31.30102 | 0.04004  |
| 41   | 0.00242  | 1.44913  | 0.00247  |0.03976  | 50.21861 | 0.03925  |
| 42   | 0.00218  | 2.35982  | 0.00297  |0.03988  |    -     | 0.04061  |
| 43   | 0.00220  | 3.76791  | 0.00308  |0.04013  |    -     | 0.04024  |
| 44   | 0.00202  | 6.13398  | 0.00303  |0.04015  |    -     | 0.03994  |
| 45   | 0.00217  | 9.78483  | 0.00232  |0.03977  |    -     | 0.04002  |
| 46   | 0.00217  | 15.86532 | 0.00299  |0.04000  |    -     | 0.03987  |
| 47   | 0.00215  | 25.72171 | 0.00302  |0.03959  |    -     | 0.03980  |
| 48   | 0.00196  | 41.19545 | 0.00291  |0.04014  |    -     | 0.03997  |
| 49   | 0.00202  |    -     | 0.00293  |0.03989  |    -     | 0.03982  |
| 50   | 0.00206  |    -     | 0.00199  |0.03961  |    -     | 0.03994  |
| 51   | 0.00223  |    -     | 0.00205  |0.03914  |    -     | 0.03983  |
| 52   | 0.00212  |    -     | 0.00182  |0.04129  |    -     | 0.04004  |
| 53   | 0.00215  |    -     | 0.00198  |0.03974  |    -     | 0.03989  |
| 54   | 0.00221  |    -     | 0.00198  |0.03971  |    -     | 0.03901  |
| 55   | 0.00206  |    -     | 0.00199  |0.03978  |    -     | 0.03984  |
| 56   | 0.00214  |    -     | 0.00201  |0.03958  |    -     | 0.03935  |
| 57   | 0.00216  |    -     | 0.00206  |0.03978  |    -     | 0.03979  |
| 58   | 0.00208  |    -     | 0.00201  |0.03969  |    -     | 0.03918  |
| 59   | 0.00197  |    -     | 0.00204  |0.03574  |    -     | 0.03986  |
| 60   | 0.00216  |    -     | 0.00203  |0.03976  |    -     | 0.03985  |
| 61   | 0.00216  |    -     | 0.00202  |0.03571  |    -     | 0.03982  |
| 62   | 0.00208  |    -     | 0.00198  |0.03975  |    -     | 0.04068  |
| 63   | 0.00210  |    -     | 0.00197  |0.03802  |    -     | 0.03996  |
| 64   | 0.00209  |    -     | 0.00197  |0.03973  |    -     | 0.03986  |
| 65   | 0.00229  |    -     | 0.00200  |0.03972  |    -     | 0.04002  |
| 66   | 0.00210  |    -     | 0.00188  |0.03978  |    -     | 0.04049  |
| 67   | 0.00217  |    -     | 0.00198  |0.03973  |    -     | 0.04021  |
| 68   | 0.00217  |    -     | 0.00204  |0.03969  |    -     | 0.03765  |
| 69   | 0.00216  |    -     | 0.00197  |0.04113  |    -     | 0.04006  |
| 70   | 0.00215  |    -     | 0.00198  |0.03963  |    -     | 0.04035  |
| 71   | 0.00216  |    -     | 0.00207  |0.03976  |    -     | 0.03985  |
| 72   | 0.00207  |    -     | 0.00200  |0.03970  |    -     | 0.03988  |
| 73   | 0.00209  |    -     | 0.00189  |0.03860  |    -     | 0.03984  |
| 74   | 0.00205  |    -     | 0.00198  |0.03909  |    -     | 0.03622  |
| 75   | 0.00219  |    -     | 0.00206  |0.03906  |    -     | 0.03971  |
| 76   | 0.00222  |    -     | 0.00204  |0.03449  |    -     | 0.04002  |
| 77   | 0.00215  |    -     | 0.00202  |0.03967  |    -     | 0.04014  |
| 78   | 0.00222  |    -     | 0.00191  |0.03813  |    -     | 0.04021  |
| 79   | 0.00224  |    -     | 0.00200  |0.03970  |    -     | 0.04006  |
| 80   | 0.00221  |    -     | 0.00201  |0.03971  |    -     | 0.04002  |
| 81   | 0.00215  |    -     | 0.00200  |0.03781  |    -     | 0.04070  |
| 82   | 0.00222  |    -     | 0.00206  |0.03728  |    -     | 0.03729  |
| 83   | 0.00221  |    -     | 0.00180  |0.03881  |    -     | 0.03620  |
| 84   | 0.00213  |    -     | 0.00189  |0.03815  |    -     | 0.03692  |
| 85   | 0.00219  |    -     | 0.00205  |0.03803  |    -     | 0.04001  |
| 86   | 0.00270  |    -     | 0.00219  |0.03848  |    -     | 0.04037  |
| 87   | 0.00223  |    -     | 0.00204  |0.03791  |    -     | 0.04031  |
| 88   | 0.00214  |    -     | 0.00187  |0.03969  |    -     | 0.03626  |
| 89   | 0.00228  |    -     | 0.00206  |0.03724  |    -     | 0.04050  |
| 90   | 0.00207  |    -     | 0.00188  |0.03970  |    -     | 0.03978  |
| 91   | 0.00211  |    -     | 0.00200  |0.03968  |    -     | 0.03973  |
| 92   | 0.00221  |    -     | 0.00208  |0.03964  |    -     | 0.04035  |
| 93   | 0.00215  |    -     | 0.00200  |0.03965  |    -     | 0.03927  |
| 94   | 0.00217  |    -     | 0.00185  |0.04033  |    -     | 0.03481  |
| 95   | 0.00219  |    -     | 0.00198  |0.03970  |    -     | 0.04045  |
| 96   | 0.00230  |    -     | 0.00220  |0.03983  |    -     | 0.03708  |
| 97   | 0.00217  |    -     | 0.00208  |0.03973  |    -     | 0.03863  |
| 98   | 0.00225  |    -     | 0.00204  |0.03955  |    -     | 0.03974  |
| 99   | 0.00230  |    -     | 0.00203  |0.03615  |    -     | 0.04180  |
| 100  | 0.00255  |    -     | 0.00288  |0.03717  |    -     | 0.04004  |
| 101  | 0.00219  |    -     | 0.00205  |0.03973  |    -     | 0.03760  |
| 102  | 0.00236  |    -     | 0.00215  |0.03982  |    -     | 0.04035  |
| 103  | 0.00210  |    -     | 0.00203  |0.03594  |    -     | 0.03989  |
| 104  | 0.00213  |    -     | 0.00196  |0.03973  |    -     | 0.03977  |
| 105  | 0.00202  |    -     | 0.00205  |0.03863  |    -     | 0.03991  |
| 106  | 0.00214  |    -     | 0.00195  |0.03966  |    -     | 0.03978  |
| 107  | 0.00217  |    -     | 0.00201  |0.03969  |    -     | 0.03986  |
| 108  | 0.00217  |    -     | 0.00200  |0.03972  |    -     | 0.03982  |
| 109  | 0.00213  |    -     | 0.00202  |0.03891  |    -     | 0.03983  |
| 110  | 0.00204  |    -     | 0.00203  |0.03974  |    -     | 0.03966  |
| 111  | 0.00262  |    -     | 0.00213  |0.03634  |    -     | 0.03994  |
