| n | Iterative C | Recursive C | Dynamic Programming  C | Iterative P | Recursive P | Dynamic Programming  P |
| 39501 | 0.00225  |    -     | 0.00190  |0.07685  |    -     |    -     |
| 40001 | 0.00212  |    -     | 0.00196  |0.07655  |    -     |    -     |
| 40501 | 0.00205  |    -     | 0.00190  |0.07670  |    -     |    -     |
| 41001 | 0.00217  |    -     | 0.00186  |0.07670  |    -     |    -     |
| 41501 | 0.00201  |    -     | 0.00183  |0.07666  |    -     |    -     |
| 42001 | 0.00222  |    -     | 0.00201  |0.07679  |    -     |    -     |
| 42501 | 0.00214  |    -     | 0.00185  |0.07669  |    -     |    -     |
| 43001 | 0.00221  |    -     | 0.00202  |0.07668  |    -     |    -     |
| 43501 | 0.00219  |    -     | 0.00199  |0.07715  |    -     |    -     |
| 44001 | 0.00210  |    -     | 0.00198  |0.07681  |    -     |    -     |
| 44501 | 0.00219  |    -     | 0.00211  |0.07320  |    -     |    -     |
| 45001 | 0.00211  |    -     | 0.00191  |0.12557  |    -     |    -     |
| 45501 | 0.00233  |    -     | 0.00208  |0.13181  |    -     |    -     |
| 46001 | 0.00227  |    -     | 0.00197  |0.13183  |    -     |    -     |
| 46501 | 0.00226  |    -     | 0.00197  |0.13178  |    -     |    -     |
| 47001 | 0.00229  |    -     | 0.00195  |0.13181  |    -     |    -     |
| 47501 | 0.00223  |    -     | 0.00195  |0.12637  |    -     |    -     |
| 48001 | 0.00218  |    -     | 0.00194  |0.13182  |    -     |    -     |
| 48501 | 0.00228  |    -     | 0.00196  |0.13175  |    -     |    -     |
| 49001 | 0.00222  |    -     | 0.00206  |0.13182  |    -     |    -     |
| 49501 | 0.00223  |    -     | 0.00205  |0.12895  |    -     |    -     |
